timestamp,outdoor_temp,occupancy,load
2024-01-01T00:00:00,5,12,42.5
2024-01-01T01:00:00,4.5,10,40.8
2024-01-01T02:00:00,4,8,39.6
2024-01-01T03:00:00,3.5,7,38.9
2024-01-01T04:00:00,3,6,38.4
2024-01-01T05:00:00,3.5,8,40.1
2024-01-01T06:00:00,4,15,46.2
2024-01-01T07:00:00,5,28,57.7
2024-01-01T08:00:00,7,42,70.4
2024-01-01T09:00:00,9,48,78.9
2024-01-01T10:00:00,11,45,77.1
2024-01-01T11:00:00,13,43,76.0
2024-01-01T12:00:00,15,40,74.8
2024-01-01T13:00:00,16,38,73.5
2024-01-01T14:00:00,17,36,72.6
2024-01-01T15:00:00,17,35,71.9
2024-01-01T16:00:00,16,34,70.8
2024-01-01T17:00:00,14,36,72.4
2024-01-01T18:00:00,12,40,75.2
2024-01-01T19:00:00,10,42,74.6
2024-01-01T20:00:00,8,38,67.9
2024-01-01T21:00:00,7,32,60.8
2024-01-01T22:00:00,6,25,53.4
2024-01-01T23:00:00,5.5,18,47.3
